With IAT Report Folder Name	IAT Formal Folder Name (Matched Relative Path)	Exists In IAT Formal (Y/N)
014-DGL-17-03		N
014-DGL-17-03 Revised		N
014-DGL-17-03-1		N
014-DGL-17-03-1\ZZ3511		N
015-S00160784		N
017-s00163907-1		N
017-s00163907-2		N
017-s00163907-3		N
018-s00164291-1		N
018-s00164291-2		N
018-s00164291-3		N
019-IN8086528-1		N
019-IN8086528-2		N
019-IN8086528-4		N
020-1230-1		N
020-1230-1\020-1230-2		N
020-1230-3		N
021-BTCK17-01B-1		N
021-BTCK17-01B-2		N
022-s00168344-1		N
022-s00168344-2		N
022-s00168344-3		N
023-IN8089791		N
024-IN8090105-1		N
026-DN111111		N
027-DN111111		N
028-DN111111		N
029-DN111115		N
030-DN111115		N
031-DN111115		N
032-DN111115		N
033-DN111113		N
034-DN111114		N
035-DN111114		N
036-DN111112		N
037-IN8090316		N
038-IN8090105		N
039-IN8090316		N
B12ACN 012(B)ZNQ-PG3		N
B12ACN010YGQ-PG3		N
B12ACN012(B)ZNQ-PG4		N
B12ACN012(B)ZNQ-PG5		N
B12ACN012(B)ZNQ-PG6		N
B12ACN012(B)ZNQ-PG7		N
B16ACN039(B)YGQ-G5		N
B16ACN039(B)YGQ-G6		N
B16AMY050ASQ-PG4		N
B16AMY050ASQ-PG5		N
B20ACN002(B)YGQ-PG1		N
B20AMY049ASQ-PG1		N
B20AMY979ASQ-PG5		N
B25AMY045ASQ-PG5		N
B25AMY045ASQ-PG6		N
B25AMY049ASQ-PG1		N
B25AMY995ASQ-PG4		N
B32AMY 035ASQ-PG6		N
B32AMY035ASQ-PG2		N
B32AMY049ASQ-PG1		N
B32AMY049ASQ-PG3		N
B32AMY049ASQ-PG4		N
C0241	C0241	Y
C0323	C0323	Y
C0431	C0431	Y
C0432	C0432	Y
C0433	C0433	Y
C0470	C0470	Y
C0471	C0471	Y
CG0028~0553		N
CG0028~0553\CG0028		N
CG0028~0553\CG0030		N
CG0028~0553\CG0031		N
CG0028~0553\CG0032		N
CG0028~0553\CG0394		N
CG0028~0553\CG0395		N
CG0028~0553\CG0396		N
CG0028~0553\CG0399		N
CG0028~0553\CG0410		N
CG0028~0553\CG0470		N
CG0028~0553\CG0550		N
CG0028~0553\CG0551		N
CG0028~0553\CG0552		N
CG0028~0553\CG0553		N
CG0612	CG0612	Y
CG0666 HA		N
CG0667 HA		N
CG0668 HA		N
CG0754	CG0754	Y
CG0755	CG0755	Y
CG0756	CG0756	Y
CG0757	CG0757	Y
CG0758	CG0758	Y
CG0759	CG0759	Y
CG0760	CG0760	Y
CG0761	CG0761	Y
CG0762	CG0762	Y
CG0763	CG0763	Y
CG0764	CG0764	Y
CG0765	CG0765	Y
CG0766	CG0766	Y
CG0800	CG0800	Y
CG0801	CG0801	Y
CG0802	CG0802	Y
CG0803	CG0803	Y
CG0804	CG0804	Y
CG0805	CG0805	Y
CG0806	CG0806	Y
CG0807	CG0807	Y
CG0808	CG0808	Y
CG0809	CG0809	Y
CG0810	CG0810	Y
CG0811	CG0811	Y
CG0812	CG0812	Y
CG0814	CG0814	Y
CG0815	CG0815	Y
CG0816	CG0816	Y
CG0817	CG0817	Y
CG0818	CG0818	Y
CG0819	CG0819	Y
CG0820	CG0820	Y
CG0821	CG0821	Y
CG0822	CG0822	Y
CG0823	CG0823	Y
CG0824	CG0824	Y
CG0825	CG0825	Y
CG0826	CG0826	Y
CG0827	CG0827	Y
CG0843	CG0843	Y
CG0844	CG0844	Y
CG0845	CG0845	Y
CG0846	CG0846	Y
CG0853	CG0853	Y
CG0871	CG0871	Y
CG0872	CG0872	Y
CG0873	CG0873	Y
CG0874	CG0874	Y
CG0876	CG0876	Y
