dn_no,stockist_candidates_with_count,distinct_stockist_count,total_rows
1230,020-1230-2:3; 020-1230-1:2; 020-1230-3:2,3,7
DGL/17/03/097DB,014-DGL/17/03:7; 014-DGL/17/03 - 1:1,2,8
DGY24-1550,B12ACN 012(B)ZNQ-PG3:1; B32AMY035ASQ-PG6:1,2,2
DGY24-1616,B32AMY049ASQ-PG3:1; B32AMY049ASQ-PG4:1,2,2
DGY24-1618,B12ACN012(B)ZNQ-PG5:1; B20AMY049ASQ-PG1:1,2,2
DGY24-1648,B12ACN012(B)ZNQ-PG5:1; B16AMY050ASQ-PG4:1; B25AMY049ASQ-PG1:1; B12ACN012(B)ZNQ-PG6:1; B12ACN012(B)ZNQ-PG7:1; B16AMY050ASQ-PG5:1,6,6
DGY24-1675,B12ACN012(B)ZNQ-PG6:1; B25AMY045ASQ-PG6:1,2,2
DGY24-3470,D10TK067(A)KMQ-PG2:1; D10TK067(A)KMQ-PG3:1,2,2
DGY24-3756,D10TK067(B)KMQ-PG3:1; D10TK067(B)KMQ-PG6:1,2,2
"OFF-CUT FROM 32,33",REF-NC1322(REVISED):2; REF-NC1322 (REVISED):1,2,3
SS74268,HL1369:3; HL1292:2,2,5
