dn_no,stockist_no,primary_count,total_rows,distinct_stockist_count
1041-1,TV0095,2,2,1
1041-2,TV0096,2,2,1
1041-3,TV0097,2,2,1
1041-4,TV0098,2,2,1
1230,020-1230-2,3,7,3
1788-1,TV0140,3,3,1
1788-2,TV0141,3,3,1
1788-3,TV0142,3,3,1
1788-4,TV0143,3,3,1
1788-5,TV0144,3,3,1
1788-6,TV0145,2,2,1
2159-1,TV0072,2,2,1
2159-2,TV0073,3,3,1
2159-3,TV0074,2,2,1
2159-4,TV0075,2,2,1
2164-1,TV0076,3,3,1
2164-2,TV0077,3,3,1
2170-1,TV0080,2,2,1
2170-2,TV0082,3,3,1
2170-3,TV0083,3,3,1
2170-4,TV0084,2,2,1
2170-5,TV0085,2,2,1
2170-6,TV0086,2,2,1
2170-7,TV0087,2,2,1
2172-1,TV0088,3,3,1
2172-2,TV0089,3,3,1
2172-3,TV0090,2,2,1
2962-1,TV0099,3,3,1
2962-2,TV0100,2,2,1
2962-3,TV0102,2,2,1
2962-4,TV0103,2,2,1
2962-5,TV0104,3,3,1
3279-1,TV0138,3,3,1
3279-2,TV0139,2,2,1
3706-1,TV0062,2,2,1
3706-2,TV0063,2,2,1
3706-3,TV0064,3,3,1
3706-4,TV0065,3,3,1
3706-5,TV0066,3,3,1
4931-1,TV0067,3,3,1
4931-2,TV0068,3,3,1
4931-3,TV0069,3,3,1
5550-1,TV0091,3,3,1
5550-2,TV0092,3,3,1
5550-3,TV0093,2,2,1
5550-4,TV0094,2,2,1
7350-1,TV0123,2,2,1
7350-2,TV0124,2,2,1
7350-3,TV0125,2,2,1
7350-4,TV0126,2,2,1
7350-5,TV0127,3,3,1
7350-6,TV0128,2,2,1
7350-7,TV0129,2,2,1
911282HK-1,TV0120,2,2,1
911282HK-2,TV0121,2,2,1
911282HK-3,TV0122,3,3,1
911416HK-1,TV0130,2,2,1
911416HK-2,TV0131,3,3,1
911416HK-3,TV0132,2,2,1
911416HK-4,TV0133,2,2,1
911416HK-5,TV0134,2,2,1
911416HK-6,TV0135,3,3,1
9465-1,TV0106,2,2,1
9465-2,TV0107,2,2,1
9465-3,TV0108,2,2,1
9465-4,TV0109,2,2,1
AC-C0379,T9001-2309,1,1,1
B20AMY979ASQ-PG5,B20AMY979ASQ-PG5,1,1,1
BTCK17-01B-1,021-BTCK17-01B-1,5,5,1
BTCK17-01B-2,021-BTCK17-01B-2,4,4,1
C0146,TV0146,2,2,1
C0147,TV0147,3,3,1
C0148,TV0148,3,3,1
C0149,TV0149,3,3,1
C0150,TV0150,2,2,1
C0151,TV0151,4,4,1
C0152,TV0152,4,4,1
C0153,TV0153,3,3,1
C0154,TV0154,3,3,1
C0155,TV0155,2,2,1
C0156,TV0156,2,2,1
C0157,TV0157,3,3,1
C0158,TV0158,3,3,1
C0159,TV0159,2,2,1
C0160,TV0160,3,3,1
C0161,TV0161,3,3,1
C0162,TV0162,3,3,1
C0163,TV0163,3,3,1
C0164,TV0164,3,3,1
C0165,TV0165,2,2,1
C0166,TV0166,2,2,1
C0167,TV0167,3,3,1
C0168,TV0168,2,2,1
C0169,TV0169,3,3,1
C0170,TV0170,3,3,1
C0171,TV0171,2,2,1
C0172,TV0172,3,3,1
C0173,TV0173,3,3,1
C0174,TV0174,3,3,1
C0175,TV0175,3,3,1
C0176,TV0176,3,3,1
C0177,TV0177,3,3,1
C0178,TV0178,3,3,1
C0179,TV0179,2,2,1
C0180,TV0180,3,3,1
C0181,TV0181,4,4,1
C0182,TV0182,2,2,1
C0183,TV0183,3,3,1
C0184,TV0184,3,3,1
C0185,TV0185,3,3,1
C0186,TV0186,3,3,1
C0187,TV0187,3,3,1
C0188,TV0188,3,3,1
C0189,TV0189,3,3,1
C0190,TV0190,4,4,1
C0191,TV0191,3,3,1
C0192,TV0192,3,3,1
C0193,TV0193,3,3,1
C0194,TV0194,2,2,1
C0195,TV0195,3,3,1
C0196,TV0196,3,3,1
C0197,TV0197,3,3,1
C0198,TV0198,3,3,1
C0199,TV0199,3,3,1
C0200,TV0200,2,2,1
C0201,TV0201,3,3,1
C0202,TV0202,3,3,1
C0203,TV0203,3,3,1
C0204,TV0204,2,2,1
C0205,TV0205,3,3,1
C0206,TV0206,3,3,1
C0207,TV0207,2,2,1
C0208,TV0208,3,3,1
C0209,TV0209,4,4,1
C0210,TV0210,2,2,1
C0211,TV0211,3,3,1
C0212,TV0212,3,3,1
C0213,TV0213,3,3,1
C0214,TV0214,3,3,1
C0215,TV0215,3,3,1
C0216,TV0216,3,3,1
C0217,TV0217,3,3,1
C0218,TV0218,3,3,1
C0219,TV0219,3,3,1
C0220,TV0220,2,2,1
C0221,TV0221,3,3,1
C0222,TV0222,3,3,1
C0223,TV0223,3,3,1
C0224,TV0224,3,3,1
C0225,TV0225,3,3,1
C0226,TV0226,3,3,1
C0227,TV0227,3,3,1
C0228,TV0228,3,3,1
C0229,TV0229,3,3,1
C0230,TV0230,3,3,1
C0231,TV0231,3,3,1
C0232,TV0232,4,4,1
C0233,TV0233,3,3,1
C0234,TV0234,3,3,1
C0235,TV0235,3,3,1
C0236,TV0236,3,3,1
C0237,TV0237,3,3,1
C0238,TV0238,3,3,1
C0239,TV0239,3,3,1
C0240,TV0240,3,3,1
C0241,TV0241,3,3,1
C0242,TV0242,4,4,1
C0243,TV0243,2,2,1
C0244,TV0244,3,3,1
C0245,TV0245,2,2,1
C0246,TV0246,3,3,1
C0247,TV0247,3,3,1
C0248,TV0248,3,3,1
C0249,TV0249,3,3,1
C0250,TV0250,3,3,1
C0251,TV0251,3,3,1
C0252,TV0252,3,3,1
C0253,TV0253,3,3,1
C0254,TV0254,2,2,1
C0255,TV0255,3,3,1
C0256,TV0256,2,2,1
C0257,TV0257,2,2,1
C0258,TV0258,3,3,1
C0259,TV0259,3,3,1
C0260,TV0260,3,3,1
C0261,TV0261,3,3,1
C0262,TV0262,3,3,1
C0263,TV0263,3,3,1
C0264,TV0264,3,3,1
C0265,TV0265,3,3,1
C0266,TV0266,2,2,1
C0267,TV0267,4,4,1
C0268,TV0268,4,4,1
C0269,TV0269,4,4,1
C0270,TV0270,3,3,1
C0271,TV0271,3,3,1
C0272,TV0272,3,3,1
C0273,TV0273,3,3,1
C0274,TV0274,3,3,1
C0275,TV0275,3,3,1
C0276,TV0276,3,3,1
C0277,TV0277,3,3,1
C0278,TV0278,2,2,1
C0279,TV0279,3,3,1
C0280,TV0280,3,3,1
C0281,TV0281,2,2,1
C0282,TV0282,3,3,1
C0283,TV0283,3,3,1
C0284,TV0284,3,3,1
C0285,TV0285,3,3,1
C0286,TV0286,3,3,1
C0287,TV0287,2,2,1
C0288,TV0288,3,3,1
C0289,TV0289,3,3,1
C0290,TV0290,3,3,1
C0291,TV0291,2,2,1
C0292,TV0292,3,3,1
C0293,TV0293,2,2,1
C0294,TV0294,3,3,1
C0295,TV0295,3,3,1
C0296,TV0296,2,2,1
C0297,TV0297,2,2,1
C0298,TV0298,3,3,1
C0299,TV0299,2,2,1
C0300,TV0300,3,3,1
C0301,TV0301,3,3,1
C0302,TV0302,3,3,1
C0303,TV0303,3,3,1
C0304,TV0304,3,3,1
C0306,TV0306,3,3,1
C0307,TV0307,3,3,1
C0308,TV0308,3,3,1
C0309,TV0309,3,3,1
C0310,TV0310,3,3,1
C0311,TV0311,3,3,1
C0312,TV0312,3,3,1
C0313,TV0313,2,2,1
C0314,TV0314,3,3,1
C0315,TV0315,3,3,1
C0316,TV0316,3,3,1
C0317,TV0317,4,4,1
C0318,TV0318,4,4,1
C0319,TV0319,4,4,1
C0320,TV0320,3,3,1
C0321,TV0321,4,4,1
C0322,TV0322,3,3,1
C0323,TV0323,3,3,1
C0324,TV0324,3,3,1
C0325,TV0325,4,4,1
C0326,TV0326,3,3,1
