status,source_file,dn_no,mapped_stockist_no,detail
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-1_TV0111_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-2_TV0112_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-3_TV0113_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-4_TV0114_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-5_TV0115_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-6_TV0116_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-7_TV0117_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-8_TV0118_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\IBC0540931-9_TV0119_29_NOV_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\ISB0378133-1_TV0055_25_APR_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\ISB0378133-2_TV0056_25_APR_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\ISB0378133-3_TV0057_25_APR_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\ISB0378133-4_TV0058_10_JUL_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\ISB0378133-4_TV0058_25_APR_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\ISB0378133-5_TV0059_25_APR_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02253538-1_TV0031_24_NOV_2018.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02253538-3_TV0033_10_DEC_2018.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02326309-1_TV0041_28_FEB_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02326309-2_TV0042_28_FEB_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02326309-3_TV0043_28_FEB_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02326309-4_TV0044_28_FEB_2019.pdf,,,filename pattern mismatch
SKIP_NOT_MATCH,D:\Stockist&Test Report\Stockist Cert\KR02326309-5_TV0045_28_FEB_2019.pdf,,,filename pattern mismatch
